year,n_events,rupture_mean,rupture_p90,polemic_mean,archival_mean,noise_mean
1979,4,0.6636249999999999,0.7377499999999999,0.015625,0.06,0.118
1980,1,0.14,0.14,0.0,0.0,0.02
1985,41,0.5969512195121952,0.73,0.009146341463414634,0.015609756097560976,0.06926829268292682
1986,1,0.778,0.778,0.0,0.12,0.188
1989,4,0.6285000000000001,0.713,0.0,0.03,0.066
1993,1,0.204,0.204,0.0,0.04,0.044
1994,1,0.136,0.136,0.0,0.0,0.016
2006,1,0.268,0.268,0.0,0.08,0.068
2008,2,0.15000000000000002,0.158,0.0,0.02,0.01
2015,1,0.16,0.16,0.0,0.0,0.04
2016,1,0.374,0.374,0.0,0.04,0.064
2018,1,0.1825,0.1825,0.0625,0.0,0.0
2019,1,0.566,0.566,0.0,0.04,0.056
2024,2,0.13,0.138,0.0,0.0,0.01
2025,6,0.25,0.27,0.0,0.006666666666666667,0.023333333333333334
2026,1,0.27,0.27,0.0,0.0,0.0
