Sref,source_domain_real,source_decoded
[S1],aaa.org.hk,https://aaa.org.hk/tc/collections/search/archive/li-xianting-archive
[S2],www.artda.cn,https://www.artda.cn/pinglunjiacezhanren-c-1194.html
[S3],www.sohu.com,https://www.sohu.com/a/238987623_100143310
[S4],www.artda.cn,https://www.artda.cn/xingweidangan-c-10817.html;cid=2
[S5],www.artda.cn,https://www.artda.cn/view.php?tid=110&cid=28
[S6],www.arthing.org,https://www.arthing.org/archives/2018/01/006818.html
[S7],www.artlinkart.com,https://www.artlinkart.com/cn/exhibition/overview/5c1avxqq
[S8],www.chinesepen.org,https://www.chinesepen.org/blog/archives/121393
[S9],www.theartjournal.cn,https://www.theartjournal.cn/archives/interview/112959
[S10],aaa.org.hk,https://aaa.org.hk/tc/collections/event-database/chinaavant-garde-exhibition-17368
[S11],www.artda.cn,https://www.artda.cn/yishusichaoguonei-c-3051.html
[S12],www.artda.cn,https://www.artda.cn/laosushufang-c-10927.html
[S13],www.cafamuseum.org,https://www.cafamuseum.org/en/exhibit/newsdetail/2279
[S14],www.sohu.com,https://www.sohu.com/a/222123004_330564
[S15],www.sohu.com,https://www.sohu.com/a/238857600_100143310
[S16],www.artlinkart.com,https://www.artlinkart.com/cn/article/overview/afdfsAu
[S17],www.redbrickartmuseum.org,http://www.redbrickartmuseum.org/collections/《1989中国现代艺术展-美术馆内》/
[S18],xubing.com,https://xubing.com/cn/about/workhistory
[S19],www.artlinkart.com,https://www.artlinkart.com/cn/article/overview/eediswo/genres/critique/R
[S20],www.artlinkart.com,https://www.artlinkart.com/cn/artist/txt_ab/418brw/e86isvu
[S21],nepaper.ccdy.cn,https://nepaper.ccdy.cn/page/1/2019-01/06/1/201901061_pdf.PDF
[S22],www.artlinkart.com,https://www.artlinkart.com/cn/artist/txt_ab/425auxn
[S23],www.redbrickartmuseum.org,http://www.redbrickartmuseum.org/exhibitions/温普林中国前卫艺术档案之八〇九〇年代/
[S24],www.sohu.com,https://www.sohu.com/a/208049359_407290
[S25],www.artforum.com.cn,https://www.artforum.com.cn/print/201809/11703
[S26],en.xiaolu.com.au,https://en.xiaolu.com.au/index.php?c=show&id=98
[S27],news.ifeng.com,https://news.ifeng.com/c/7fZuuWPGhRA
[S28],www.cafa.com.cn,https://www.cafa.com.cn/cn/opinions/interviews/details/5410389
[S29],www.cafa.com.cn,https://www.cafa.com.cn/cn/opinions/interviews/details/54128
[S30],www.mplus.org.hk,https://www.mplus.org.hk/tc/collection/makers/wu-shanzhuan/
