year,institution_level,n,share
1979,unknown,4,1.0
1980,unknown,1,1.0
1985,market,1,0.024390243902439025
1985,media,4,0.0975609756097561
1985,museum,1,0.024390243902439025
1985,platform,6,0.14634146341463414
1985,unknown,29,0.7073170731707317
1986,unknown,1,1.0
1989,media,1,0.25
1989,museum,1,0.25
1989,unknown,2,0.5
1993,unknown,1,1.0
1994,unknown,1,1.0
2006,unknown,1,1.0
2008,unknown,2,1.0
2015,unknown,1,1.0
2016,museum,1,1.0
2018,unknown,1,1.0
2019,unknown,1,1.0
2024,unknown,2,1.0
2025,media,3,0.5
2025,museum,2,0.3333333333333333
2025,unknown,1,0.16666666666666666
2026,museum,1,1.0
