year,diffusion_channel,n,share
1979,retrospective_web,4,1.0
1980,retrospective_web,1,1.0
1985,database,5,0.12195121951219512
1985,retrospective_web,36,0.8780487804878049
1986,retrospective_web,1,1.0
1989,retrospective_web,4,1.0
1993,retrospective_web,1,1.0
1994,retrospective_web,1,1.0
2006,retrospective_web,1,1.0
2008,retrospective_web,2,1.0
2015,retrospective_web,1,1.0
2016,retrospective_web,1,1.0
2018,retrospective_web,1,1.0
2019,retrospective_web,1,1.0
2024,retrospective_web,2,1.0
2025,retrospective_web,6,1.0
2026,retrospective_web,1,1.0
