source_domain_real,n,mean,p90
www.arthing.org,1,10.0,10.0
aaa.org.hk,2,9.1,9.82
www.artda.cn,5,8.879999999999999,10.0
www.chinesepen.org,1,8.6,8.6
www.theartjournal.cn,1,8.2,8.2
www.cafamuseum.org,1,7.2,7.2
www.artlinkart.com,5,6.44,7.960000000000001
xubing.com,1,6.2,6.2
www.redbrickartmuseum.org,2,5.7,6.1000000000000005
www.sohu.com,5,5.5600000000000005,8.68
nepaper.ccdy.cn,1,5.2,5.2
en.xiaolu.com.au,1,3.2,3.2
news.ifeng.com,1,2.7,2.7
www.artforum.com.cn,2,2.45,3.0500000000000003
www.cafa.com.cn,3,2.2,2.2
www.mplus.org.hk,1,2.2,2.2
cdn.aaa.org.hk,1,2.0,2.0
ago.ca,1,0.6,0.6
www.art-woman.com,1,0.6,0.6
www.china1980s.org,1,0.6,0.6
www.inkstudio.com.cn,1,0.6,0.6
www.longmarchspace.com,1,0.6,0.6
ucca.org.cn,4,0.5,0.6
book.douban.com,2,0.4,0.5599999999999999
zh.wikipedia.org,2,0.4,0.5599999999999999
baike.baidu.com,3,0.3333333333333333,0.52
zhuanlan.zhihu.com,2,0.2,0.2
art.china.cn,1,0.2,0.2
auction.artron.net,1,0.2,0.2
book.kongfz.com,1,0.2,0.2
china1980s.org,1,0.2,0.2
icast.ac.cn,1,0.2,0.2
m.bjnews.com.cn,1,0.2,0.2
m.kankanews.com,1,0.2,0.2
m.thepaper.cn,1,0.2,0.2
pekinger-fruehling.univie.ac.at,1,0.2,0.2
szaipa.com,1,0.2,0.2
wikii.one,1,0.2,0.2
www.99ys.com,1,0.2,0.2
www.gdmoa.org,1,0.2,0.2
www.hiart.cn,1,0.2,0.2
www.thepaper.cn,1,0.2,0.2
www.trueart.com,1,0.2,0.2
www.xubing.com,1,0.2,0.2
