event_id,year,title,event_type,polemic_score,archivalization_score,source,source_url
EVT-EXH-1985-00010-7318fd3b,1985,"与""90年代""前卫艺术展览史有关的十段回忆 | Hi艺术 - 当代艺术资讯专家 | 专题 | 话题",exhibition,5.7,0.0,[S1],http://www.hiart.cn/feature/detail/b37gwvv.html
EVT-EXH-1985-00052-fe4ae423,1985,"""徐冰：思想与方法""展览设计团队：一定要从外部判断 - 访谈 - 观点 - 中央美术学院艺术资讯网-CAFA Art Info",exhibition,4.7,0.0,[S2],https://www.cafa.com.cn/cn/opinions/interviews/details/5410389
EVT-EXH-1985-00046-61e512d0,1985,徐冰的艺术世界：过去与未来 - 访谈 - 观点 - 中央美术学院艺术资讯网-CAFA Art Info,exhibition,4.7,0.0,[S3],https://www.cafa.com.cn/cn/opinions/interviews/details/54128
EVT-EXH-1989-00049-7a9accd0,1989,"《1989""中国现代艺术展"", 美术馆内》 - Red Brick Art Museum",exhibition,4.5,0.0,[S4],http://www.redbrickartmuseum.org/collections/《1989中国现代艺术展-美术馆内》/
EVT-OTH-1985-00057-ee92c1a7,1985,栗宪庭：中国百年艺术思潮 - 独立中文笔会,other,4.5,0.0,[S5],https://www.chinesepen.org/blog/archives/121393
EVT-EXH-1985-00007-2e227262,1985,个体精神萌发的时刻，回到1980年代上海前卫艺术现场,exhibition,4.5,0.0,[S6],https://www.theartjournal.cn/archives/interview/112959
EVT-EXH-1979-00054-b4331dd1,1979,搜尋 | Li Xianting Archive 栗憲庭檔案 | 亞洲藝術文獻庫 - AAA,exhibition,3.5,0.0,[S7],https://aaa.org.hk/tc/collections/search/archive/li-xianting-archive
EVT-EXH-1985-00038-fe2c3baf,1985,吴山专 + 英格·斯瓦拉·托斯朵蒂尔 - artforum.com.cn,exhibition,3.5,0.0,[S8],https://www.artforum.com.cn/picks/14922
EVT-EXH-1989-00047-dc372981,1989,"1989""中国现代艺术大展""研究（节选） CAFA Art Museum",exhibition,3.5,0.0,[S9],https://www.cafamuseum.org/en/exhibit/newsdetail/2279
EVT-EXH-2019-00067-6b5dd021,2019,"PDF策展30年： ""是时候建立中国策展学了""",exhibition,3.5,0.0,[S10],https://nepaper.ccdy.cn/page/1/2019-01/06/1/201901061_pdf.PDF
